category,Pipeline,Event_TP,Event_TN,Event_FP,Event_FN,Event_Accuracy,Event_Precision,Event_Recall,Event_F1,MCC,TP_pixel,TN_pixel,FP_pixel,FN_pixel,Recall,Specificity,FPR,FNR,Precision,CDnet_FMeasure,PWC,avg_CPU,avg_process_cpu_percent,max_process_cpu_percent,median_CPU,avg_RAM,avg_ram_mb,max_ram_mb,avg_FPS,median_FPS,avg_latency_ms,median_latency_ms,P95_latency_ms,P99_latency_ms,Activation,processed_frames,temporal_roi_start,temporal_roi_end,evaluated_frames,skipped_frames_before_roi,warmup_frames,reused_prediction_count,reused_prediction_rate,Energy/frame,simulated_runtime_energy/frame,runtime_seconds,CPU_reduction_rate,EE_Gate_Score,mAP_50
cameraJitter,ASMAG_TR_CONTROLLER_ONLINE_CALIBRATED,553.25,56.5,161.25,12.5,0.8437542984147497,0.8595104812782126,0.9718154613466334,0.9033089578453277,0.15483872259811593,2920269.25,65527561.5,5391981.75,332984.25,0.8319537718667502,0.9456705461757962,0.05432945382420388,0.16804622813324965,0.6199769835399189,0.6589706069138305,5.7811793240582805,163.4271622096091,163.4271622096091,270.60625,170.13125,2.1736630190744535,712.2659780653386,715.037109375,6.707917903879221,4.187294725638115,235.35971725055686,242.723286151886,331.5834701061249,423.2805609703061,0.8982134197606371,783.5,822.5,1605.0,783.5,821.5,50.0,15.25,0.03982625573116555,6.224279612025715,7.457468911096871,173.91779214143753,0.008999331410325998,0.8515741938727728,0.5165343018790834
cameraJitter,ASMAG_TR_FAST,565.0,0.0,217.75,0.75,0.8355851971925804,0.8363792894459855,0.9988765586034913,0.9000477546985859,-0.0072113865492394,2965413.0,62947011.0,7972532.25,287840.5,0.8514892619019233,0.9165149510156584,0.08348504898434157,0.14851073809807672,0.550829444809325,0.6096868680408417,8.466115479658786,167.67226049685343,167.67226049685343,325.91875,170.64375,1.9313418390474741,632.8621280644007,635.1787109375,13.31049358050625,4.732118915688197,207.45039999419646,214.06495571136475,299.48359727859497,616.8694138526913,0.8616165757960622,783.5,822.5,1605.0,783.5,821.5,50.0,113.25,0.13746775603945702,6.121829654584255,7.264530834106037,149.04785430431366,-0.01661372450485495,0.8244881215859933,0.4433917082187
cameraJitter,P1_YOLO_Only,495.75,95.25,122.5,70.0,0.8426039055921722,0.9016848802948105,0.8871798877981367,0.8832717732202509,0.19001981836109552,2683480.25,64318157.25,6601386.0,569773.25,0.7762885522265298,0.9375016808851885,0.06249831911481153,0.22371144777347016,0.631594555182697,0.6398536706129011,6.950917468693847,164.96802462366628,164.96802462366628,189.51875,167.81875,1.9960335604524304,654.0602951533334,655.4296875,5.124104690529973,5.303735159427891,201.30897278439218,188.81535530090332,265.56316018104553,368.412107229232,1.0,783.5,822.5,1605.0,783.5,821.5,0.0,0.0,0.0,6.200000000000003,8.105492978002832,157.46787172555923,0.0,0.8426039055921722,0.4884753045933219
cameraJitter,P2_FrameDiff,557.5,34.5,183.25,8.25,0.8398520395231557,0.8525690958398245,0.97933762459947,0.9016172540007282,0.1538219311589108,2820600.75,64174928.5,6744614.75,432652.75,0.8074129298472691,0.9300028450561861,0.06999715494381388,0.19258707015273083,0.5668909643675814,0.612405991696291,7.426693463912947,162.8477193329815,162.8477193329815,207.65625,170.8125,1.9266680523128648,631.3306104109431,633.2939453125,12.259119373855354,5.333733607986421,187.2038922481417,187.05201148986816,253.71086597442627,298.83319139480597,0.9553240750328453,783.5,822.5,1605.0,783.5,821.5,0.0,0.0,0.0,6.076620375164224,7.862971582556712,147.8597811460495,0.012610846075228124,0.8499788970706252,0.49811792325047943
cameraJitter,P3_MOG2,553.0,56.5,161.25,12.75,0.843130857018241,0.8595104812782126,0.9711920199501247,0.9029613744599868,0.15483872259811593,2922165.0,65627442.25,5292101.0,331088.5,0.8325465342065179,0.9477208964528145,0.05227910354718543,0.16745346579348203,0.6347296486928757,0.6691812168600207,5.59035195908968,160.13621877810493,160.13621877810493,202.6125,169.06875,1.9801895361515374,648.8685153106924,650.0703125,20.7392015015499,4.993627427182327,205.55511980605417,200.60491561889648,301.42101645469666,463.4736895561218,0.9374162340952938,783.5,822.5,1605.0,783.5,821.5,50.0,0.0,0.0,6.387081170476471,7.60864073359351,150.89384311437607,0.02889985157018525,0.8668205638749269,0.5295654619968525
dynamicBackground,ASMAG_TR_CONTROLLER,583.5,218.66666666666666,1409.8333333333333,0.8333333333333334,0.4850589595177451,0.42447323158634526,0.996976713762428,0.5689437054879939,0.20761695500986174,3516468.1666666665,266490296.83333334,9080151.5,359338.6666666667,0.9128710397129108,0.985977906520637,0.014022093479362932,0.08712896028708912,0.6391184649766779,0.6701689714594785,1.469178019363417,149.64436825495312,149.64436825495312,273.6166666666667,149.38333333333333,2.034352169051488,666.6165316020396,669.1822916666666,31.83975788054714,4.513332049612644,192.73324758589402,185.54651737213135,294.25067305564875,345.45185685157776,0.8338306488832087,2212.8333333333335,933.3333333333334,3145.1666666666665,2212.8333333333335,932.3333333333334,50.0,0.0,0.0,5.869153244416045,6.998171867739412,463.21495076020557,0.08163972004115176,0.561049484782516,0.36310158032243
dynamicBackground,ASMAG_TR_CONTROLLER_ONLINE_CALIBRATED,583.8333333333334,184.33333333333334,1444.1666666666667,0.5,0.45136505373839436,0.3746481683783333,0.9987613453869612,0.5284698883069546,0.16079326026659949,3505639.3333333335,266465891.83333334,9104556.5,370167.5,0.9043971048594971,0.9858367360815511,0.014163263918448833,0.09560289514050287,0.6056210872470176,0.6500439676096922,1.4882824575434521,151.62977190449507,151.62977190449507,317.16249999999997,159.39166666666668,2.2118688749189275,724.7852606030998,732.611328125,10.041035149242736,5.919176673029347,230.69434728535362,224.75163141886392,366.6396578152974,434.4545253117879,0.8168852493449656,2212.8333333333335,933.3333333333334,3145.1666666666665,2212.8333333333335,932.3333333333334,50.0,71.0,0.051417910550496417,5.80862935877692,6.9211489068560885,539.1221869786581,0.06956700180457652,0.5037959011907055,0.3489297653018532
dynamicBackground,ASMAG_TR_FAST,583.3333333333334,48.0,1580.5,1.0,0.3551040306403997,0.3291342245385544,0.9962525380340045,0.47750372008254605,0.05871817731294656,3450680.3333333335,266244982.16666666,9325466.166666666,425126.5,0.8974483700305537,0.9804953187981663,0.019504681201833633,0.10255162996944622,0.48607841185936995,0.5724604203753716,2.008862969946095,160.20484513067507,160.20484513067507,378.03749999999997,167.57083333333335,2.0365217885609903,667.3275100501367,674.03515625,22.374880556837926,14.786213967281741,201.50378847763326,187.73261706034342,359.4181358814239,441.6800844669342,0.7280536815641017,2212.8333333333335,933.3333333333334,3145.1666666666665,2212.8333333333335,932.3333333333334,50.0,434.3333333333333,0.23545407215168254,5.463813815035675,6.51280593498766,466.8913632631302,0.018292038561696318,0.36179441655745675,0.33694770882074265
dynamicBackground,P1_YOLO_Only,565.5,427.5,1201.0,18.833333333333332,0.6208073095965939,0.624700541862655,0.9423030553838175,0.6695890000079894,0.473942569008974,3510266.6666666665,266512767.66666666,9057680.666666666,365540.1666666667,0.893734189503857,0.986349699741705,0.013650300258294917,0.10626581049614299,0.6544440176740642,0.6661956433243336,1.437861790755365,163.08330188625118,163.08330188625118,191.90833333333333,166.15416666666667,2.0351391498068394,666.8744269197431,672.0611979166666,4.52964661910509,4.689310414687881,234.76691206751414,216.1110838254293,320.67171931266785,434.6090245246887,1.0,2212.8333333333335,933.3333333333334,3145.1666666666665,2212.8333333333335,932.3333333333334,0.0,0.0,0.0,6.200000000000002,7.978635284340147,534.625356554985,0.0,0.6208073095965939,0.34386767996750417
dynamicBackground,P2_FrameDiff,479.0,696.3333333333334,932.1666666666666,105.33333333333333,0.590248094477316,0.573871598958157,0.8673268604706122,0.6103213923098649,0.3257369179593002,3420473.6666666665,267061822.33333334,8508626.0,455333.1666666667,0.8474128559274359,0.9868299063225883,0.013170093677411667,0.15258714407256413,0.6575952356086371,0.6456809681835992,1.4364107989972428,117.3988307615606,117.3988307615606,282.45416666666665,116.45416666666667,1.9834267687641558,649.9292855411127,656.2109375,42.74556559275364,3.026861527268063,151.54738266925756,139.81095949808756,309.7166617711385,363.1505115826926,0.655578023717042,2212.8333333333335,933.3333333333334,3145.1666666666665,2212.8333333333335,932.3333333333334,0.0,0.0,0.0,4.577890118585208,5.677259127333953,322.91844014326733,0.282555994171234,0.8343578301209332,0.29530187787437806
dynamicBackground,P3_MOG2,583.5,218.66666666666666,1409.8333333333333,0.8333333333333334,0.4850589595177451,0.42447323158634526,0.996976713762428,0.5689437054879939,0.20761695500986174,3516468.1666666665,266490296.83333334,9080151.5,359338.6666666667,0.9128710397129108,0.985977906520637,0.014022093479362932,0.08712896028708912,0.6391184649766779,0.6701689714594785,1.469178019363417,145.61996173611212,145.61996173611212,259.6666666666667,143.8166666666667,2.050155838591122,671.7950744278429,674.826171875,36.29986360799713,4.514342245414137,214.3675472876282,198.23402166366577,329.4559220472972,408.55250716209395,0.8338306488832087,2212.8333333333335,933.3333333333334,3145.1666666666665,2212.8333333333335,932.3333333333334,50.0,0.0,0.0,5.869153244416045,6.911205375502185,497.2469952901204,0.10608003990023752,0.5794353608284767,0.36310158032243
intermittentObjectMotion,ASMAG_TR_CONTROLLER,1732.6666666666667,0.0,285.8333333333333,0.0,0.834266312391493,0.834266312391493,1.0,0.8949166904410965,0.0,1275259.5,37851038.333333336,10652120.166666666,592307.3333333334,0.665383435868334,0.8324283470470276,0.16757165295297238,0.334616564131666,0.4262386733751589,0.3300000031810872,19.077632107957765,161.84651435415185,161.84651435415185,364.575,168.54583333333335,1.9667432382891696,644.4624549492754,649.2278645833334,43.583088397808325,25.962706642864912,190.6228538368446,210.39921045303345,351.31383935610455,452.16144919395447,0.665675204762852,2018.5,1090.8333333333333,3108.3333333333335,2018.5,1089.8333333333333,50.0,600.8333333333334,0.334324795237148,5.161808503337974,6.210069651685458,410.90664927164715,0.0034504031090259145,0.8256146066777985,0.04577379718208968
intermittentObjectMotion,ASMAG_TR_CONTROLLER_ONLINE_CALIBRATED,1675.3333333333333,82.5,203.33333333333334,57.333333333333336,0.8590269173096288,0.8677000491474426,0.9530108353843983,0.9008013765177285,0.13107260277436003,1243105.0,38862092.333333336,9641066.166666666,624461.8333333334,0.6354625724489029,0.8439153688284139,0.15608463117158614,0.3645374275510971,0.43014347939633546,0.3291775543975279,18.160632903182194,154.32163589292801,154.32163589292801,399.19166666666666,165.47916666666666,2.164290359708452,709.1947269745389,720.30078125,20.295179348108494,15.91842600192951,190.13558337087753,183.69591236114502,342.7709937095642,421.95103764534,0.6420521791136365,2018.5,1090.8333333333333,3108.3333333333335,2018.5,1089.8333333333333,50.0,509.3333333333333,0.26889818620374456,5.022452487829797,6.004534325767651,403.55471833546954,0.05030160464002096,0.8975588169647359,0.03643879495128103
intermittentObjectMotion,ASMAG_TR_FAST,1659.8333333333333,32.166666666666664,253.66666666666666,72.83333333333333,0.8164260290149635,0.8382346957444043,0.9422799925690605,0.8771284603070061,0.021484963311615715,1225206.6666666667,38688269.0,9814889.5,642360.1666666666,0.6263951339374962,0.8419830919009964,0.1580169080990037,0.3736048660625038,0.4268349568628708,0.3238438095704926,18.409810672104925,155.1406641494658,155.1406641494658,393.6041666666667,166.92083333333332,1.9293250983413557,632.2012803987822,638.3216145833334,53.035306961605095,40.13886598407809,168.73522218445336,171.81350787480673,331.9821854432424,464.7605439027152,0.5939591148250395,2018.5,1090.8333333333333,3108.3333333333335,2018.5,1089.8333333333333,50.0,627.3333333333334,0.34377294554303467,4.8041728686795,5.724865558834729,368.20379745960236,0.04469926778816948,0.8380924405377881,0.034261447951676745
