category,video,Pipeline,Event_TP,Event_TN,Event_FP,Event_FN,Event_Accuracy,Event_Precision,Event_Recall,Event_F1,MCC,TP_pixel,TN_pixel,FP_pixel,FN_pixel,Recall,Specificity,FPR,FNR,Precision,CDnet_FMeasure,PWC,avg_CPU,avg_process_cpu_percent,max_process_cpu_percent,median_CPU,avg_RAM,avg_ram_mb,max_ram_mb,avg_FPS,median_FPS,avg_latency_ms,median_latency_ms,P95_latency_ms,P99_latency_ms,Activation,processed_frames,temporal_roi_start,temporal_roi_end,evaluated_frames,skipped_frames_before_roi,warmup_frames,reused_prediction_count,reused_prediction_rate,Energy/frame,simulated_runtime_energy/frame,runtime_seconds,CPU_reduction_rate,EE_Gate_Score,mAP_50
cameraJitter,sidewalk,P1_YOLO_Only,399,0,0,2,0.9950124688279302,1.0,0.9950124688279302,0.9975,0.0,175774,9799726,23430,87455,0.6677607710396651,0.9976148195142172,0.0023851804857827,0.3322392289603349,0.8823818798819301,0.7602139120694241,1.099353237061643,166.00473815461345,166.00473815461345,188.575,167.675,1.9539666889314344,640.2758046290523,640.3125,5.202480701109441,5.335158230545065,194.20185826365787,187.43586540222168,243.95394325256348,280.6413173675537,1.0,401,800,1200,401,799,0,0,0.0,6.200000000000002,8.21524241982346,77.8749451637268,0.0,0.9950124688279302,0.0983338848336276
cameraJitter,traffic,P1_YOLO_Only,339,143,17,172,0.7183308494783904,0.952247191011236,0.6634050880626223,0.782006920415225,0.4757362736011886,2059021,46027765,914211,1101735,0.651433074871961,0.9805246587830048,0.0194753412169952,0.348566925128039,0.6925194535777901,0.6713482321778262,4.023624899336826,160.76363636363635,160.76363636363635,188.575,165.725,2.0172018940864485,660.9967341188525,662.1953125,4.682570271530362,4.99059304508818,230.3539871636517,200.3769874572754,337.34750747680664,649.8245477676357,1.0,671,900,1570,671,899,0,0,0.0,6.200000000000003,7.701010975047023,154.5675253868103,0.0,0.7183308494783904,0.5867481505610661
dynamicBackground,boats,P1_YOLO_Only,1154,264,4676,6,0.2324590163934426,0.1979416809605488,0.9948275862068966,0.3301859799713876,0.0920965893810484,1448630,245501561,217638,102221,0.9340871560195017,0.9991142816642504,0.0008857183357495,0.0659128439804984,0.8693859571209434,0.9005759500969657,0.1293561432126535,163.96581147540982,163.96581147540982,200.125,166.525,1.9666527490146823,644.4328349129098,661.16015625,4.314207324159036,4.493915606511971,240.1950553987847,222.52309322357172,327.318799495697,463.005623817444,1.0,6100,1900,7999,6100,1899,0,0,0.0,6.200000000000002,7.721273009814067,1465.189837932587,0.0,0.2324590163934426,0.0299512875508513
dynamicBackground,canoe,P1_YOLO_Only,245,143,0,2,0.9948717948717948,1.0,0.9919028340080972,0.9959349593495934,0.98905076492968,979005,28391595,28126,64364,0.9383113740201212,0.999010335112016,0.0009896648879839,0.0616886259798786,0.972073146393071,0.9548939283101684,0.313918193916524,163.59564102564104,163.59564102564104,188.575,165.725,2.033785703854683,666.4308994391025,666.74609375,4.750843308191005,4.854313742636274,212.7096500152197,206.0023546218872,266.9024348258972,309.19337511062633,1.0,390,800,1189,390,799,0,0,0.0,6.200000000000002,8.180483143713094,82.95676350593567,0.0,0.9948717948717948,0.8404935756727345
dynamicBackground,fall,P1_YOLO_Only,1093,0,1908,0,0.364211929356881,0.364211929356881,1.0,0.5339521250610649,0.0,16422691,965105362,51302643,1915306,0.8955553324607917,0.9495255421566656,0.0504744578433342,0.1044446675392083,0.2424896272936801,0.381642002678237,5.143092980996123,163.82587470843052,163.82587470843052,196.2,165.975,2.1157740037149684,693.2969374791736,699.4765625,4.912758914463079,5.051747146704438,205.4925043556699,197.9513168334961,256.99853897094727,294.62313652038574,1.0,3001,1000,4000,3001,999,0,0,0.0,6.200000000000001,7.892425280948189,616.6830055713654,0.0,0.364211929356881,0.0689155736883707
dynamicBackground,fountain01,P1_YOLO_Only,169,0,616,0,0.2152866242038216,0.2152866242038216,1.0,0.3542976939203354,0.0,74517,90607915,2675140,2986,0.9614724591306144,0.971322337159734,0.0286776628402661,0.0385275408693857,0.0271004710769379,0.0527150921773086,2.868583968831892,164.7914331210191,164.7914331210191,188.575,167.025,2.025868771182504,663.8366789410828,665.01171875,4.772859957042114,4.906691872959349,211.5918302232293,203.803300857544,263.0188465118408,301.9847011566161,1.0,785,400,1184,785,399,0,0,0.0,6.200000000000001,8.184561623650168,166.099586725235,0.0,0.2152866242038216,0.1003157346941895
dynamicBackground,fountain02,P1_YOLO_Only,151,796,4,49,0.947,0.9741935483870968,0.755,0.8507042253521127,0.8289475478158842,170757,123934943,27388,96472,0.6389912771443219,0.9997790619151876,0.0002209380848122,0.3610087228556781,0.8617779908652754,0.7338484745602463,0.0997025184666193,166.348025,166.348025,188.575,169.175,2.0756685733795166,680.155078125,680.578125,5.031456372952682,5.16132153235826,200.7397918701172,193.7488317489624,250.9902834892272,297.4982810020447,1.0,1000,500,1499,1000,499,0,0,0.0,6.200000000000002,8.18404673483151,200.7397918701172,0.0,0.947,0.2864184418793642
dynamicBackground,overpass,P1_YOLO_Only,581,1362,2,56,0.9710144927536232,0.9965694682675816,0.912087912087912,0.9524590163934424,0.9335605119272314,1966000,145535230,95149,11892,0.9939875382477912,0.9993466404423764,0.0006533595576236,0.0060124617522089,0.953836913294478,0.9734984121230756,0.0725169391083782,155.9730259870065,155.9730259870065,189.4,162.5,1.993085097694683,653.0941326211894,659.39453125,3.395753837822627,3.667872586956997,337.8726405420642,272.63760566711426,558.8014125823975,941.3490295410156,1.0,2001,1000,3000,2001,999,0,0,0.0,6.200000000000002,7.709021913083851,676.0831537246704,0.0,0.9710144927536232,0.7371114663195149
intermittentObjectMotion,abandonedBox,P1_YOLO_Only,2042,0,0,9,0.9956118966357874,1.0,0.9956118966357874,0.997801123870022,0.0,166425,14772929,34664,582379,0.2222544217178327,0.9976590388458138,0.0023409611541862,0.7777455782821673,0.8276186166324364,0.3504078880463379,3.966490441199206,163.83383715260848,163.83383715260848,192.8,167.225,1.7031197196852574,558.078340215139,564.8203125,5.01268592896298,5.237511550660573,206.8681043860158,190.93036651611328,287.1054410934448,410.3468656539917,1.0,2051,2450,4500,2051,2449,0,0,0.0,6.200000000000002,7.854467402568091,424.2864820957184,0.0,0.9956118966357874,0.0013270472500911
intermittentObjectMotion,parking,P1_YOLO_Only,629,0,772,0,0.4489650249821556,0.4489650249821556,1.0,0.6197044334975369,0.0,222865,2524828,164362,2526,0.9887928089409072,0.9388804807395535,0.0611195192604464,0.0112071910590928,0.5755409617614474,0.7275822780264374,5.725968844235243,164.74548536759457,164.74548536759457,185.95,167.4,2.154327281282086,705.9299635305139,708.5625,4.012881484177538,4.027183921620589,253.7419687076435,248.3124732971192,314.4340515136719,368.47972869873047,1.0,1401,1100,2500,1401,1099,0,0,0.0,6.2,7.75741170704483,355.49249815940857,0.0,0.4489650249821556,0.3813606665816728
